State_Name,District_Name,Season,Crop,Area,Production,P/A
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Kharif,Rice,9117.1,25963.87333,2.847821493
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Arecanut,1296,2290,1.766975309
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Arhar/Tur,294.5,90.8,0.308319185
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Black pepper,168,13.5,0.080357143
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Cashewnut,84.5,39,0.461538462
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Dry chillies,254,402,1.582677165
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Dry ginger,110,1011.84,9.198545455
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Groundnut,4.75,6.8,1.431578947
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Maize,86.7,96.4,1.111880046
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Moong(Green Gram),1168.6,556.55,0.476253637
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Sunflower,2.9,1.9,0.655172414
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Sweet potato,109,480,4.403669725
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Turmeric,68,376.5,5.536764706
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Urad,1059.5,458.79,0.433025012
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Arecanut,1160,3011.7,2.596293103
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Banana,1048.523333,9541,9.09946369
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Black pepper,175,191.14,1.092228571
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Cashewnut,67.16666667,43.66666667,0.650124069
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Coconut,5312.5,19312500,3635.294118
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Dry chillies,235.72,824.3,3.496945529
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Dry ginger,264.8866667,1057.666667,3.992902625
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Sugarcane,97.76666667,2538.333333,25.96317763
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Sweet potato,69.33333333,362.6666667,5.230769231
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Tapioca,200.5,1627.666667,8.118038238
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Turmeric,68,408,6
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,other oilseeds,84.31,38.2,0.453089788
Andaman and Nicobar Islands,SOUTH ANDAMANS,Autumn,Rice,1595.5,3788,2.374177374
Andaman and Nicobar Islands,SOUTH ANDAMANS,Autumn,Sugarcane,67.5,402,5.955555556
Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif,Rice,8298.48,23978.36,2.889488195
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Arecanut,1912,1900,0.993723849
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Arhar/Tur,20.5,13.2,0.643902439
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Black pepper,409,98,0.239608802
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Cashewnut,15,10.5,0.7
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Dry chillies,128,148,1.15625
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Dry ginger,94,828.52,8.814042553
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Groundnut,15.5,7.6,0.490322581
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Maize,73,253,3.465753425
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Moong(Green Gram),29.9,17.85,0.596989967
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Sunflower,1,0.5,0.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Sweet potato,32,235,7.34375
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Turmeric,10,105,10.5
Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Urad,34,15.05,0.442647059
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Arecanut,2926.89,3966.532,1.355203646
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Banana,1244.316667,9955.421667,8.000713913
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Black pepper,524.71,73.472,0.140024013
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Cashewnut,102.4,26.292,0.256757813
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Coconut,5900.04,23310000,3950.820672
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Dry chillies,282.86,466.8,1.650286361
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Dry ginger,293.78,1321.24,4.497378991
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Sugarcane,209.956,4329.444,20.62072053
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Sweet potato,81.15,460.175,5.670671596
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Tapioca,105.6666667,620,5.867507886
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Turmeric,45.85,316,6.892039258
Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,other oilseeds,66.808,34.3,0.513411567
Andhra Pradesh,ANANTAPUR,Kharif,Arecanut,505.5,244,0.482690406
Andhra Pradesh,ANANTAPUR,Kharif,Arhar/Tur,37013.70588,8797.470588,0.237681431
Andhra Pradesh,ANANTAPUR,Kharif,Bajra,1660.833333,1353.555556,0.814985784
Andhra Pradesh,ANANTAPUR,Kharif,Brinjal,392.6666667,8143.666667,20.73938879
Andhra Pradesh,ANANTAPUR,Kharif,Cabbage,6,80.5,13.41666667
Andhra Pradesh,ANANTAPUR,Kharif,Cashewnut,14,5,0.357142857
Andhra Pradesh,ANANTAPUR,Kharif,Castor seed,6208.888889,2095.5,0.3375
Andhra Pradesh,ANANTAPUR,Kharif,Coriander,82,42.5,0.518292683
Andhra Pradesh,ANANTAPUR,Kharif,Cotton(lint),13677,17663.83333,1.29149911
Andhra Pradesh,ANANTAPUR,Kharif,Cowpea(Lobia),735.25,212.25,0.288677321
Andhra Pradesh,ANANTAPUR,Kharif,Dry chillies,2802.352941,7765.235294,2.770969773
Andhra Pradesh,ANANTAPUR,Kharif,Gram,18.5,15.5,0.837837838
Andhra Pradesh,ANANTAPUR,Kharif,Grapes,264.6666667,6712,25.36020151
Andhra Pradesh,ANANTAPUR,Kharif,Groundnut,732906.3889,374758.5,0.511332014
Andhra Pradesh,ANANTAPUR,Kharif,Horse-gram,1574.705882,704.8823529,0.447627942
Andhra Pradesh,ANANTAPUR,Kharif,Jowar,9314.333333,9223.055556,0.990200289
Andhra Pradesh,ANANTAPUR,Kharif,Korra,2017.5,1033.166667,0.512102437
Andhra Pradesh,ANANTAPUR,Kharif,Lemon,409.6666667,3124.333333,7.626525631
Andhra Pradesh,ANANTAPUR,Kharif,Linseed,7,3,0.428571429
Andhra Pradesh,ANANTAPUR,Kharif,Maize,9097.111111,26339.16667,2.895333073
Andhra Pradesh,ANANTAPUR,Kharif,Mango,8755,67731,7.736264991
Andhra Pradesh,ANANTAPUR,Kharif,Masoor,23117,3861,0.167019942
Andhra Pradesh,ANANTAPUR,Kharif,Mesta,20.66666667,169.6666667,8.209677419
Andhra Pradesh,ANANTAPUR,Kharif,Moong(Green Gram),1163.333333,678.6470588,0.583364234
Andhra Pradesh,ANANTAPUR,Kharif,Onion,1427.666667,23812.6,16.67938361
Andhra Pradesh,ANANTAPUR,Kharif,Other Kharif pulses,885.1333333,144.3571429,0.163090845
Andhra Pradesh,ANANTAPUR,Kharif,Papaya,350.3333333,23019.33333,65.70694577
Andhra Pradesh,ANANTAPUR,Kharif,Pome Granet,1433.666667,19269.66667,13.44082771
Andhra Pradesh,ANANTAPUR,Kharif,Potato,15,281,18.73333333
Andhra Pradesh,ANANTAPUR,Kharif,Ragi,3432,6768,1.972027972
Andhra Pradesh,ANANTAPUR,Kharif,Rice,30055.55556,83229.38889,2.769184843
Andhra Pradesh,ANANTAPUR,Kharif,Samai,133,44,0.330827068
Andhra Pradesh,ANANTAPUR,Kharif,Sapota,2146,27304.33333,12.72336129
Andhra Pradesh,ANANTAPUR,Kharif,Sesamum,6.5,1.5,0.230769231
Andhra Pradesh,ANANTAPUR,Kharif,Small millets,926.7142857,524.9285714,0.566440573
Andhra Pradesh,ANANTAPUR,Kharif,Soyabean,775.1818182,1121.636364,1.446933271
Andhra Pradesh,ANANTAPUR,Kharif,Sugarcane,271.75,27203.75,100.1057958
Andhra Pradesh,ANANTAPUR,Kharif,Sunflower,33579.54545,17315.90909,0.515668359
Andhra Pradesh,ANANTAPUR,Kharif,Tobacco,57.75,67,1.16017316
Andhra Pradesh,ANANTAPUR,Kharif,Tomato,3173,80139,25.25653955
Andhra Pradesh,ANANTAPUR,Kharif,Turmeric,43.33333333,506,11.67692308
Andhra Pradesh,ANANTAPUR,Kharif,Urad,92.64285714,48.64285714,0.525057826
Andhra Pradesh,ANANTAPUR,Kharif,other misc. pulses,1292,214,0.165634675
Andhra Pradesh,ANANTAPUR,Kharif,other oilseeds,4648.666667,3495.666667,0.751971892
Andhra Pradesh,ANANTAPUR,Rabi,Arhar/Tur,93.25,25.75,0.27613941
Andhra Pradesh,ANANTAPUR,Rabi,Bajra,82,54.93333333,0.669918699
Andhra Pradesh,ANANTAPUR,Rabi,Brinjal,358.3333333,7740.333333,21.60093023
Andhra Pradesh,ANANTAPUR,Rabi,Cabbage,6.5,116,17.84615385
Andhra Pradesh,ANANTAPUR,Rabi,Castor seed,164,78,0.475609756
Andhra Pradesh,ANANTAPUR,Rabi,Coriander,4266.666667,2372,0.5559375
Andhra Pradesh,ANANTAPUR,Rabi,Cotton(lint),341,490,1.436950147
Andhra Pradesh,ANANTAPUR,Rabi,Cowpea(Lobia),90.5,93.75,1.035911602
Andhra Pradesh,ANANTAPUR,Rabi,Dry chillies,89.30769231,199.0769231,2.229112834
Andhra Pradesh,ANANTAPUR,Rabi,Gram,60583.66667,44265.16667,0.730645223
Andhra Pradesh,ANANTAPUR,Rabi,Groundnut,19300.38889,26554.22222,1.375838714
Andhra Pradesh,ANANTAPUR,Rabi,Horse-gram,1668.5,899.1176471,0.538877823
Andhra Pradesh,ANANTAPUR,Rabi,Jowar,13909.88889,12010,0.863414517
Andhra Pradesh,ANANTAPUR,Rabi,Korra,98,83.5,0.852040816
Andhra Pradesh,ANANTAPUR,Rabi,Linseed,14.66666667,3.555555556,0.242424242
Andhra Pradesh,ANANTAPUR,Rabi,Maize,3187.777778,24019.05556,7.534733357
Andhra Pradesh,ANANTAPUR,Rabi,Masoor,98,10,0.102040816
Andhra Pradesh,ANANTAPUR,Rabi,Moong(Green Gram),98.46153846,63.92307692,0.64921875
Andhra Pradesh,ANANTAPUR,Rabi,Onion,320.6428571,7206,22.47360214
Andhra Pradesh,ANANTAPUR,Rabi,Other  Rabi pulses,6.666666667,2,0.3
Andhra Pradesh,ANANTAPUR,Rabi,Other Kharif pulses,5,6,1.2
Andhra Pradesh,ANANTAPUR,Rabi,Potato,56.5,1038,18.37168142
Andhra Pradesh,ANANTAPUR,Rabi,Ragi,697.7058824,1191.294118,1.707444566
Andhra Pradesh,ANANTAPUR,Rabi,Rapeseed &Mustard,8,,
Andhra Pradesh,ANANTAPUR,Rabi,Rice,16863.55556,42081.77778,2.495427352
Andhra Pradesh,ANANTAPUR,Rabi,Safflower,623.2666667,102.8666667,0.16504439
Andhra Pradesh,ANANTAPUR,Rabi,Sesamum,6,1.5,0.25
Andhra Pradesh,ANANTAPUR,Rabi,Small millets,36.875,21.875,0.593220339
Andhra Pradesh,ANANTAPUR,Rabi,Sunflower,15797.71429,7193.571429,0.455355205
Andhra Pradesh,ANANTAPUR,Rabi,Sweet potato,4,40,10
Andhra Pradesh,ANANTAPUR,Rabi,Tobacco,213,374,1.755868545
Andhra Pradesh,ANANTAPUR,Rabi,Tomato,3022.666667,66227.66667,21.91034407
Andhra Pradesh,ANANTAPUR,Rabi,Urad,195.8181818,135,0.689415042
Andhra Pradesh,ANANTAPUR,Rabi,Wheat,272.9375,171.75,0.629264942
Andhra Pradesh,ANANTAPUR,Whole Year,Arecanut,315.4,290.8,0.922003805
Andhra Pradesh,ANANTAPUR,Whole Year,Banana,2751,141794.5,51.54289349
Andhra Pradesh,ANANTAPUR,Whole Year,Beans & Mutter(Vegetable),1,5,5
Andhra Pradesh,ANANTAPUR,Whole Year,Bhindi,113.5,905.5,7.977973568
Andhra Pradesh,ANANTAPUR,Whole Year,Brinjal,1077.5,14788,13.72436195
Andhra Pradesh,ANANTAPUR,Whole Year,Cashewnut,9,3,0.333333333
Andhra Pradesh,ANANTAPUR,Whole Year,Castor seed,11447,5381,0.470079497
Andhra Pradesh,ANANTAPUR,Whole Year,Citrus Fruit,747,7979.5,10.68206158
Andhra Pradesh,ANANTAPUR,Whole Year,Coconut,786.2307692,4919579.538,6257.169944
Andhra Pradesh,ANANTAPUR,Whole Year,Coriander,3997.75,1275.083333,0.318950243
Andhra Pradesh,ANANTAPUR,Whole Year,Cucumber,34.5,0,0
Andhra Pradesh,ANANTAPUR,Whole Year,Dry chillies,5199,5759,1.107713022
Andhra Pradesh,ANANTAPUR,Whole Year,Grapes,114.5,2061.5,18.00436681
Andhra Pradesh,ANANTAPUR,Whole Year,Linseed,7,3,0.428571429
Andhra Pradesh,ANANTAPUR,Whole Year,Mango,3951.5,42256.5,10.69378717
Andhra Pradesh,ANANTAPUR,Whole Year,Onion,1770,32364,18.28474576
Andhra Pradesh,ANANTAPUR,Whole Year,Orange,13604,168590.5,12.39271538
Andhra Pradesh,ANANTAPUR,Whole Year,Other Fresh Fruits,2829.5,2569,0.907934264
Andhra Pradesh,ANANTAPUR,Whole Year,Other Vegetables,1775,0,0
Andhra Pradesh,ANANTAPUR,Whole Year,Papaya,1462.5,130723.5,89.38358974
Andhra Pradesh,ANANTAPUR,Whole Year,Pome Fruit,1336.5,73278,54.82828283
Andhra Pradesh,ANANTAPUR,Whole Year,Potato,21.5,277.8333333,12.92248062
Andhra Pradesh,ANANTAPUR,Whole Year,Rice,29211,82532,2.825374003
Andhra Pradesh,ANANTAPUR,Whole Year,Safflower,58,41,0.706896552
Andhra Pradesh,ANANTAPUR,Whole Year,Sugarcane,384.2307692,33832.23077,88.05185185
Andhra Pradesh,ANANTAPUR,Whole Year,Sunflower,39645.66667,19656,0.49579189
Andhra Pradesh,ANANTAPUR,Whole Year,Sweet potato,21.81818182,185.0909091,8.483333333
Andhra Pradesh,ANANTAPUR,Whole Year,Tobacco,139.4545455,212.6363636,1.524771838
Andhra Pradesh,ANANTAPUR,Whole Year,Tomato,3091.5,17068,5.520944525
Andhra Pradesh,ANANTAPUR,Whole Year,Turmeric,49,394.75,8.056122449
Andhra Pradesh,ANANTAPUR,Whole Year,Wheat,62,39,0.629032258
Andhra Pradesh,ANANTAPUR,Whole Year,other fibres,132,0,0
Andhra Pradesh,CHITTOOR,Kharif,Arhar/Tur,7016.058824,1355.294118,0.19317029
Andhra Pradesh,CHITTOOR,Kharif,Bajra,2262,3404.055556,1.504887514
Andhra Pradesh,CHITTOOR,Kharif,Brinjal,906,19858.33333,21.91869021
Andhra Pradesh,CHITTOOR,Kharif,Cabbage,113.3333333,2277,20.09117647
Andhra Pradesh,CHITTOOR,Kharif,Cashewnut,78.66666667,24.66666667,0.313559322
Andhra Pradesh,CHITTOOR,Kharif,Castor seed,284.6875,134.75,0.473326015
Andhra Pradesh,CHITTOOR,Kharif,Coriander,14.5,8.5,0.586206897
Andhra Pradesh,CHITTOOR,Kharif,Cotton(lint),139.4545455,167.8181818,1.203389831
Andhra Pradesh,CHITTOOR,Kharif,Cowpea(Lobia),1035.25,307.25,0.296788215
Andhra Pradesh,CHITTOOR,Kharif,Dry chillies,550.8333333,978.3333333,1.776096823
Andhra Pradesh,CHITTOOR,Kharif,Gram,6.666666667,6.333333333,0.95
Andhra Pradesh,CHITTOOR,Kharif,Grapes,28.33333333,631.6666667,22.29411765
Andhra Pradesh,CHITTOOR,Kharif,Groundnut,157978.8889,121316.8333,0.767930666
Andhra Pradesh,CHITTOOR,Kharif,Horse-gram,4485.055556,2414.944444,0.538442482
Andhra Pradesh,CHITTOOR,Kharif,Jowar,1484.888889,1227.647059,0.826760216
Andhra Pradesh,CHITTOOR,Kharif,Korra,35.5,32.75,0.922535211
Andhra Pradesh,CHITTOOR,Kharif,Lemon,49.66666667,380.3333333,7.657718121
Andhra Pradesh,CHITTOOR,Kharif,Maize,782.8888889,2784.888889,3.557195572
Andhra Pradesh,CHITTOOR,Kharif,Mango,62669.33333,517646.6667,8.259967661
Andhra Pradesh,CHITTOOR,Kharif,Masoor,5096,637,0.125
Andhra Pradesh,CHITTOOR,Kharif,Mesta,3.125,26.625,8.52
Andhra Pradesh,CHITTOOR,Kharif,Moong(Green Gram),432.8333333,223.1176471,0.515481664
Andhra Pradesh,CHITTOOR,Kharif,Onion,222.2142857,3626.571429,16.32015429
Andhra Pradesh,CHITTOOR,Kharif,Other Kharif pulses,2225.058824,607.8235294,0.273171892
Andhra Pradesh,CHITTOOR,Kharif,Papaya,534.3333333,29473.33333,55.15907673
Andhra Pradesh,CHITTOOR,Kharif,Pome Granet,101,1176.333333,11.64686469
Andhra Pradesh,CHITTOOR,Kharif,Potato,271,4402,16.24354244
Andhra Pradesh,CHITTOOR,Kharif,Ragi,8618.888889,8507.944444,0.987127756
Andhra Pradesh,CHITTOOR,Kharif,Rice,22230.44444,56316.16667,2.533290183
Andhra Pradesh,CHITTOOR,Kharif,Samai,1836.4,461.4,0.25125245
Andhra Pradesh,CHITTOOR,Kharif,Sapota,201,2053.333333,10.21558872
Andhra Pradesh,CHITTOOR,Kharif,Sesamum,262.2352941,51.76470588,0.197397936
Andhra Pradesh,CHITTOOR,Kharif,Small millets,1177.533333,346.5714286,0.294319845
Andhra Pradesh,CHITTOOR,Kharif,Soyabean,11,19,1.727272727
Andhra Pradesh,CHITTOOR,Kharif,Sugarcane,28001.25,2474060.75,88.35536806
Andhra Pradesh,CHITTOOR,Kharif,Sunflower,1201.75,763.5454545,0.63536131
Andhra Pradesh,CHITTOOR,Kharif,Sweet potato,50.5,586,11.6039604
Andhra Pradesh,CHITTOOR,Kharif,Tobacco,8,15,1.875
Andhra Pradesh,CHITTOOR,Kharif,Tomato,8352.333333,189550,22.69425709
Andhra Pradesh,CHITTOOR,Kharif,Turmeric,16.66666667,195.3333333,11.72
Andhra Pradesh,CHITTOOR,Kharif,Urad,274.3125,164.0625,0.598086124
Andhra Pradesh,CHITTOOR,Kharif,other misc. pulses,1653,464,0.280701754
Andhra Pradesh,CHITTOOR,Kharif,other oilseeds,153.5,125.5,0.817589577
Andhra Pradesh,CHITTOOR,Rabi,Arhar/Tur,42,8.5,0.202380952
Andhra Pradesh,CHITTOOR,Rabi,Bajra,66.2,82.4,1.244712991
Andhra Pradesh,CHITTOOR,Rabi,Brinjal,762.6666667,16722.33333,21.92613636
Andhra Pradesh,CHITTOOR,Rabi,Cabbage,173.6666667,3369.666667,19.40307102
Andhra Pradesh,CHITTOOR,Rabi,Coriander,75,41.66666667,0.555555556
Andhra Pradesh,CHITTOOR,Rabi,Cotton(lint),321.6666667,683,2.123316062
Andhra Pradesh,CHITTOOR,Rabi,Cowpea(Lobia),12,10.75,0.895833333
Andhra Pradesh,CHITTOOR,Rabi,Dry chillies,2326.352941,5360.647059,2.304313745
Andhra Pradesh,CHITTOOR,Rabi,Gram,8.666666667,14,1.615384615
Andhra Pradesh,CHITTOOR,Rabi,Groundnut,19354.11111,51822.5,2.677596491
Andhra Pradesh,CHITTOOR,Rabi,Horse-gram,1963.111111,960.6666667,0.489359294
Andhra Pradesh,CHITTOOR,Rabi,Jowar,45.25,58.125,1.284530387
Andhra Pradesh,CHITTOOR,Rabi,Linseed,16.1,3.111111111,0.193236715
Andhra Pradesh,CHITTOOR,Rabi,Maize,546.8235294,3850.352941,7.04130809
Andhra Pradesh,CHITTOOR,Rabi,Moong(Green Gram),192.4,92.06666667,0.478516979
Andhra Pradesh,CHITTOOR,Rabi,Onion,230.6428571,5072.928571,21.99473521
Andhra Pradesh,CHITTOOR,Rabi,Other  Rabi pulses,19.77777778,9.555555556,0.483146067
Andhra Pradesh,CHITTOOR,Rabi,Other Kharif pulses,4,5,1.25
Andhra Pradesh,CHITTOOR,Rabi,Potato,882.5,14269,16.16883853
Andhra Pradesh,CHITTOOR,Rabi,Ragi,1057.111111,1645.333333,1.556443136
Andhra Pradesh,CHITTOOR,Rabi,Rapeseed &Mustard,9,20,2.222222222
Andhra Pradesh,CHITTOOR,Rabi,Rice,40206.27778,113347.2222,2.819142395
Andhra Pradesh,CHITTOOR,Rabi,Sesamum,495.8125,221.9375,0.44762385
Andhra Pradesh,CHITTOOR,Rabi,Sunflower,1687.428571,1456.142857,0.862935997
Andhra Pradesh,CHITTOOR,Rabi,Sweet potato,201,2310.666667,11.49585406
Andhra Pradesh,CHITTOOR,Rabi,Tobacco,55.33333333,111.6666667,2.018072289
Andhra Pradesh,CHITTOOR,Rabi,Tomato,5035,116256,23.08957299
Andhra Pradesh,CHITTOOR,Rabi,Urad,727.9333333,616.3333333,0.846689257
Andhra Pradesh,CHITTOOR,Rabi,Wheat,4.5,3.25,0.722222222
Andhra Pradesh,CHITTOOR,Rabi,other misc. pulses,13,2,0.153846154
Andhra Pradesh,CHITTOOR,Rabi,other oilseeds,22,26,1.181818182
Andhra Pradesh,CHITTOOR,Whole Year,Banana,775.9166667,33103,42.66308667
Andhra Pradesh,CHITTOOR,Whole Year,Beans & Mutter(Vegetable),1436.5,7315,5.092238079
Andhra Pradesh,CHITTOOR,Whole Year,Bhindi,361,2787,7.720221607
Andhra Pradesh,CHITTOOR,Whole Year,Brinjal,1724,18149,10.52726218
Andhra Pradesh,CHITTOOR,Whole Year,Cabbage,38.5,0,0
Andhra Pradesh,CHITTOOR,Whole Year,Cashewnut,107.5833333,26.58333333,0.247095275
Andhra Pradesh,CHITTOOR,Whole Year,Castor seed,228,107,0.469298246
Andhra Pradesh,CHITTOOR,Whole Year,Citrus Fruit,226.5,2461,10.86534216
Andhra Pradesh,CHITTOOR,Whole Year,Coconut,3859,24170542.23,6263.421153
Andhra Pradesh,CHITTOOR,Whole Year,Coriander,101,42,0.415841584
Andhra Pradesh,CHITTOOR,Whole Year,Cucumber,4.5,0,0
Andhra Pradesh,CHITTOOR,Whole Year,Dry chillies,3370,4968,1.474183976
Andhra Pradesh,CHITTOOR,Whole Year,Grapes,34,614,18.05882353
Andhra Pradesh,CHITTOOR,Whole Year,Mango,48203,284797,5.908283717
Andhra Pradesh,CHITTOOR,Whole Year,Onion,548,8149,14.87043796
Andhra Pradesh,CHITTOOR,Whole Year,Orange,5,67.5,13.5
Andhra Pradesh,CHITTOOR,Whole Year,Other Fresh Fruits,286.5,151,0.527050611
Andhra Pradesh,CHITTOOR,Whole Year,Other Vegetables,802,0,0
Andhra Pradesh,CHITTOOR,Whole Year,Papaya,28,3315.5,118.4107143
Andhra Pradesh,CHITTOOR,Whole Year,Peas  (vegetable),1,0,0
Andhra Pradesh,CHITTOOR,Whole Year,Pome Fruit,67.5,3672,54.4
Andhra Pradesh,CHITTOOR,Whole Year,Potato,1282.75,13044.91667,10.16949263
Andhra Pradesh,CHITTOOR,Whole Year,Rice,40965,132424,3.232613206
Andhra Pradesh,CHITTOOR,Whole Year,Sugarcane,31972.64286,2760246.357,86.33150439
Andhra Pradesh,CHITTOOR,Whole Year,Sunflower,2798.333333,1909.166667,0.68225134
Andhra Pradesh,CHITTOOR,Whole Year,Sweet potato,210.9166667,1861.083333,8.823785065
Andhra Pradesh,CHITTOOR,Whole Year,Tapioca,7.8,75,9.615384615
Andhra Pradesh,CHITTOOR,Whole Year,Tobacco,80.33333333,125.0833333,1.557053942
Andhra Pradesh,CHITTOOR,Whole Year,Tomato,18237,159619,8.752481219
